235,Ingersoll-Rand Company,IR
236,Intel Corporation,INTC
237,International Business Machines Corporation,IBM
238,International Game Technology,IGT
239,International Paper Company,IP
240,iShares MSCI EAFE Index Fund,EFA
241,iShares MSCI Japan Index Fund,EWJ
242,iShares S&P 500 Index Fund,IVV
243,"J.C. Penney Company, Inc. Holding Company",JCP
244,J.P. Morgan Chase & Co.,JPM
245,JOHNSON & JOHNSON,JNJ
246,"Johnson Controls, Inc.",JCI
247,Kellogg Company,K
248,Kerr-McGee Corporation,KMG
249,KeyCorp,KEY
250,Kimberly-Clark Corporation,KMB
251,"Kinder Morgan, Inc.",KMI
252,"Kirin Brewery Company, Limited",KNBWY
253,Kohl's Corporation,KSS
254,"Koninklijke Ahold, N.V.",AHO
255,"Koninklijke Philips Electronics, N.V.",PHG
256,Kookmin Bank,KB
257,Korea Electric Power Corporation,KEP
258,Korea Telecom Corporation,KTC
259,Kraft Foods Inc.,KFT
260,Kroger Company (The),KR
261,Kubota Corporation,KUB
262,Kyocera Corporation,KYO
263,Lafarge S.A.,LR
264,Las Vegas Sands Corp.,LVS
265,"Legg Mason, Inc.",LM
266,Lehman ABS Corporation,BMY
267,Lehman Brothers Fin SA,LEH
268,LG.PHILIPS,LPL
269,Liberty Media Corporation,L
270,Linear Technology Corporation,LLTC
271,LLOYDS TSB GROUP PLC,LYG
272,LM Ericsson Telephone Company,ERICY
273,Lockheed Martin Corporation,LMT
274,Loews Corporation,LTR
275,"Lowe's Companies, Inc.",LOW
276,"Lucent Technologies, Inc.",LU
277,"Luxottica Group, S.p.A.",LUX
278,M&T Bank Corporation,MTB
279,Manulife Financial Corp,MFC
280,Marathon Oil Corporation,MRO
281,Marriot International,MAR
282,"Marsh & McLennan Companies, Inc.",MMC
283,"Marvell Technology Group, Ltd.",MRVL
284,Masco Corporation,MAS
285,"Matsushita Electric Industrial Company, Ltd.",MC
286,"Maxim Integrated Products, Inc.",MXIM
287,McDonald's Corporation,MCD
288,"McGraw-Hill Companies, Inc. (The)",MHP
289,McKesson Corporation,MCK
290,MedcoHealth Solutions Inc,MHS
291,"Medtronic, Inc.",MDT
292,Mellon Financial Corporation,MEL
293,"Merck & Company, Inc.",MRK
294,"Merrill Lynch & Co., Inc.",MER
295,"MetLife, Inc.",MET
296,MGM MIRAGE,MGM
297,Microsoft Corporation,MSFT
298,Millea Holdings Inc. ADR,MLEA
299,Mitsubishi UFJ Financial Group Inc,MTU
300,"Mitsui & Company, Ltd.",MITSY
301,Mobile TeleSystems,MBT
302,Monsanto Company,MON
303,Moody's Corporation,MCO
304,Morgan Stanley,MS
305,"Motorola, Inc.",MOT
306,Murphy Oil Corporation,MUR
307,"Nabors Industries, Inc.",NBR
308,NASDAQ-100 Index Tracking Stock,QQQQ
309,National Australia Bank Limited,NAB
310,National City Corporation,NCC
311,"National Grid Transco, PLC",NGG
312,"National-Oilwell, Inc.",NOV
313,Natl Bk Greece Ads,NBG
314,NEC Corporation,NIPNY
315,"Network Appliance, Inc.",NTAP
316,Newmont Mining Corporation (Holding Company),NEM
317,News Corporation Limited (The),NWS/A
318,News Corporation Limited (The),NWS
319,"Nexen, Inc.",NXY
320,Nidec Corporation (Nihon Densan Kabushiki Kaisha),NJ
321,"Nike, Inc.",NKE
322,Nippon Telegraph and Telephone Corporation,NTT
323,"Nissan Motor Co., Ltd.",NSANY
324,Noble Corporation,NE
325,Nokia Corporation,NOK
326,Nomura Holdings Inc ADR,NMR
327,"Nordstrom, Inc.",JWN
328,Norfolk Souther Corporation,NSC
329,Norsk Hydro ASA,NHY
330,Nortel Networks Corporation,NT
331,"North Fork Bancorporation, Inc.",NFB
332,Northern Trust Corporation,NTRS
333,Northrop Grumman Corporation,NOC
334,Novartis AG,NVS
335,Novo Nordisk A/S,NVO
336,NTT Docomo Inc,DCM
337,Nucor Corporation,NUE
338,Occidental Petroleum Corporation,OXY
339,Omnicom Group Inc.,OMC
340,Oracle Corporation,ORCL
341,Orix Corp Ads,IX
342,"P.T. Telekomunikasi Indonesia, Tbk.",TLK
343,PACCAR Inc.,PCAR
344,Pacific Gas & Electric Co.,PCG
345,"Paychex, Inc.",PAYX
346,Peabody Energy Corporation,BTU
347,"Pearson, Plc",PSO
348,"Pepsico, Inc.",PEP
349,Petro-Canada,PCZ
350,PetroChina Company Limited,PTR
351,Petroleo Brasileiro S.A.- Petrobras,PBR
352,PETROLEO BRASILEIRO SA PETRO,PBR/A
353,"Pfizer, Inc.",PFE
354,Phelps Dodge Corporation,PD
355,Placer Dome Incorporated,PDG
356,PNC Bank Corp.,PNC
357,"Pohang Iron & Steel Co., Ltd.",PKX
358,"Portugal Telecom SGPS, S.A .",PT
359,PP&L Corporation,PPL
360,"Praxair, Inc.",PX
361,Principal Financial Group Inc,PFG
362,Procter & Gamble Company (The),PG
363,PROGRESS ENERGY INC,PGN
364,Progressive Corporation (The),PGR
365,ProLogis,PLD
366,Prudential Financial Inc,PRU
367,Prudential Public Limited Company,PUK
368,Public Service Enterprise Group Incorporated,PEG
369,PUBLIC SVC ELEC & GAS CO,PEG^A
370,QUALCOMM Incorporated,QCOM
371,Qwest Communications International Inc.,Q
372,Raytheon Company,RTN
373,Reed Elsevier NV,ENL
374,Reed Elsevier PLC,RUK
375,Regions Financing Tr I,RF
376,Repsol YPF S.A.,REP
377,Research in Motion Limited,RIMM
378,Reuters Group PLC,RTRSY
379,REYNOLDS AMERICAN INC,RAI
380,Rinker Group Limited,RIN
381,Rio Tinto Plc,RTP
382,ROCKWELL AUTOMATION INC,ROK
383,"Rogers Communication, Inc.",RG
384,Rohm and Haas Company,ROH
385,Royal Bank Of Canada,RY
386,ROYAL DUTCH SHELL PLC,RDS/A
387,ROYAL DUTCH SHELL PLC,RDS/B
388,Royal KPN N.V.,KPN
389,Safeway Inc.,SWY
390,SanDisk Corporation,SNDK
391,Sanofi-Aventis SA,SNY
392,Sanpaolo IMI S.p.A.,IMI
393,Santa Fe International Corporation,GSF
394,"SAP Aktiengesellschaft Systeme, Anwendungen, Produkt",SAP
395,Sara Lee Corporation,SLE
396,Sasol Ltd.,SSL
397,Schering Aktiengesellschaft,SHR
398,Schering-Plough Corp,SGP
399,Schlumberger N.V.,SLB
400,Scottish Power pls,SPI
401,Seagate Technology Holdings,STX
402,Sears Holdings Corporation,SHLD
403,SEMPRA ENERGY,SRE
404,Shinhan Financial Group Co Ltd,SHG
405,Siemens AG,SI
406,"Simon Property Group, Inc.",SPG
407,"SK Telecom Corporation, Ltd.",SKM
408,SLM Corporation,SLM
409,Sony Corporation,SNE
410,Southern Company (The),SO
411,Southern Peru Copper Corporation,PCU
412,Southwest Airlines Company,LUV
413,SPDR Trust Series I,SPY
414,Sprint Nextel Corporation,S
415,"St. Jude Medical, Inc.",STJ
416,"St. Paul Companies, Inc. (The)",STA
417,"Staples, Inc.",SPLS
418,Starbucks Corporation,SBUX
419,"Starwood Hotels & Resorts Worldwide, Inc.",HOT
420,State Street Corp,STT
421,STATOIL ASA,STO
422,STMicroelectronics N.V.,STM
423,Structured Products Corp.,BLS
424,Structured Products Inc 8% CorTS,CFC
425,Stryker Corporation,SYK
426,SUEZ ADS,SZE
427,Sun Life Financial Incorporated,SLF
428,"Sun Microsystems, Inc.",SUNW
429,Suncor Energy Inc.,SU
430,"Sunoco, Inc.",SUN
431,"SunTrust Banks, Inc.",STI
432,SWISSCOM AG,SCM
433,Symantec Corporation,SYMC
434,Syngenta AG,SYT
435,Sysco Corporation,SYY
436,Taiwan Semiconductor Manufacturing Company Limited,TSM
437,Talisman Energy Inc.,TLM
438,Target Corporation,TGT
439,Tele Danmark A/S,TLD
440,TELECOM ITALIA S P A NEW,TI/A
441,Telecom Italia S.P.A.,TI
442,Telefonica Moviles S.A.,TEM
443,Telefonica SA,TEF
444,Telefonos de Mexico SA de CV Ser A Spons ADR,TMX
445,TELEKOM AUSTRIA AG,TKA
446,Telenor ASA,TELN
447,Telkom SA Ltd,TKG
448,Telstra Corporation Limited,TLS
449,Tenaris S.A.,TS
450,Tennessee Valley Authority,TVE
451,Teva Pharmaceutical Industries Limited,TEVA
452,Texas Instruments Incorporated,TXN
453,Textron Inc.,TXT
454,The DirecTV Group Inc,DTV
455,THOMSON CORP,TOC
456,Time Warner Inc.,TWX
457,"TJX Companies, Inc. (The)",TJX
458,Toronto Dominion Bank (The),TD
459,"TotalFinaElf, S.A.",TOT
460,Toyota Motor Corporation,TM
461,"TPG, N.V.",TP
462,TRANSCANADA CORP,TCA^
463,"Transcananda Pipelines, Ltd.",TRP
464,Transocean Inc.,RIG
465,Turkcell Iletisim Hizmetleri AS,TKC
466,TXU Corporation,TXU
467,"Tyco International, Ltd.",TYC
468,U.S. Bancorp,USB
469,UBS AG,UBS
470,Unilever NV,UN
471,Unilever PLC,UL
472,Union Pacific Corporation,UNP
473,United Microelectronics Corporation,UMC
474,"United Parcel Service, Inc.",UPS
